peer_id,start,end,duration,success
6,1746340337.866414,1746340339.9877079,2.121293783187866,False
1,1746340337.863171,1746340339.997994,2.1348228454589844,False
44,1746340337.916623,1746340340.0044851,2.087862014770508,False
15,1746340337.880373,1746340340.0229728,2.1425998210906982,False
20,1746340337.890207,1746340340.02606,2.1358530521392822,False
30,1746340337.898453,1746340340.0341601,2.135707139968872,False
16,1746340337.8841448,1746340340.075406,2.1912612915039062,False
2,1746340337.8632362,1746340340.104337,2.241100788116455,False
24,1746340337.892583,1746340340.1340969,2.241513967514038,False
25,1746340337.892761,1746340340.1404018,2.24764084815979,False
23,1746340337.892503,1746340340.1428301,2.2503271102905273,False
19,1746340337.887601,1746340340.14317,2.2555692195892334,False
